,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
0,12487,CYIENT-BL,CYIENT,,-1.000000,1,,NSE,5.000000
1,40550,NIFTY01SEP2219200CE,NIFTY,01SEP2022,1920000.000000,50,OPTIDX,NFO,5.000000
2,60942,NIFTY24NOV2215150CE,NIFTY,24NOV2022,1515000.000000,50,OPTIDX,NFO,5.000000
3,55115,NIFTY27JUN2418000CE,NIFTY,27JUN2024,1800000.000000,50,OPTIDX,NFO,5.000000
4,42707,NIFTY29DEC2213100PE,NIFTY,29DEC2022,1310000.000000,50,OPTIDX,NFO,5.000000
5,47782,NIFTY15SEP2215950PE,NIFTY,15SEP2022,1595000.000000,50,OPTIDX,NFO,5.000000
6,52697,NIFTY22SEP2217750PE,NIFTY,22SEP2022,1775000.000000,50,OPTIDX,NFO,5.000000
7,61343,NIFTY24NOV2217650CE,NIFTY,24NOV2022,1765000.000000,50,OPTIDX,NFO,5.000000
8,49522,NIFTY29DEC2210500PE,NIFTY,29DEC2022,1050000.000000,50,OPTIDX,NFO,5.000000
9,52450,NIFTY22SEP2215500CE,NIFTY,22SEP2022,1550000.000000,50,OPTIDX,NFO,5.000000
10,57471,NIFTY27OCT2214800CE,NIFTY,27OCT2022,1480000.000000,50,OPTIDX,NFO,5.000000
11,59258,NIFTY20OCT2215800CE,NIFTY,20OCT2022,1580000.000000,50,OPTIDX,NFO,5.000000
12,58646,NIFTY31DEC2621000CE,NIFTY,31DEC2026,2100000.000000,50,OPTIDX,NFO,5.000000
13,47736,NIFTY15SEP2215050PE,NIFTY,15SEP2022,1505000.000000,50,OPTIDX,NFO,5.000000
14,57472,NIFTY27OCT2214800PE,NIFTY,27OCT2022,1480000.000000,50,OPTIDX,NFO,5.000000
15,59439,NIFTY20OCT2220300CE,NIFTY,20OCT2022,2030000.000000,50,OPTIDX,NFO,5.000000
16,43355,NIFTY08SEP2216800CE,NIFTY,08SEP2022,1680000.000000,50,OPTIDX,NFO,5.000000
17,60912,NIFTY24NOV2214650CE,NIFTY,24NOV2022,1465000.000000,50,OPTIDX,NFO,5.000000
18,61430,NIFTY24NOV2218900CE,NIFTY,24NOV2022,1890000.000000,50,OPTIDX,NFO,5.000000
19,57494,NIFTY27OCT2215350PE,NIFTY,27OCT2022,1535000.000000,50,OPTIDX,NFO,5.000000
20,47924,NIFTY15SEP2217850PE,NIFTY,15SEP2022,1785000.000000,50,OPTIDX,NFO,5.000000
21,52958,NIFTY13OCT2217400CE,NIFTY,13OCT2022,1740000.000000,50,OPTIDX,NFO,5.000000
22,52701,NIFTY13OCT2215750CE,NIFTY,13OCT2022,1575000.000000,50,OPTIDX,NFO,5.000000
23,52427,NIFTY22SEP2215300PE,NIFTY,22SEP2022,1530000.000000,50,OPTIDX,NFO,5.000000
24,52678,NIFTY22SEP2217600CE,NIFTY,22SEP2022,1760000.000000,50,OPTIDX,NFO,5.000000
25,47606,NIFTY06OCT2220400CE,NIFTY,06OCT2022,2040000.000000,50,OPTIDX,NFO,5.000000
26,55122,NIFTY24DEC2518000PE,NIFTY,24DEC2025,1800000.000000,50,OPTIDX,NFO,5.000000
27,43322,NIFTY08SEP2216450PE,NIFTY,08SEP2022,1645000.000000,50,OPTIDX,NFO,5.000000
28,59328,NIFTY20OCT2217550CE,NIFTY,20OCT2022,1755000.000000,50,OPTIDX,NFO,5.000000
29,46792,NIFTY06OCT2215150CE,NIFTY,06OCT2022,1515000.000000,50,OPTIDX,NFO,5.000000
30,57511,NIFTY27OCT2215800CE,NIFTY,27OCT2022,1580000.000000,50,OPTIDX,NFO,5.000000
31,49834,NIFTY29DEC2211700PE,NIFTY,29DEC2022,1170000.000000,50,OPTIDX,NFO,5.000000
32,59331,NIFTY20OCT2217600PE,NIFTY,20OCT2022,1760000.000000,50,OPTIDX,NFO,5.000000
33,47814,NIFTY15SEP2216500CE,NIFTY,15SEP2022,1650000.000000,50,OPTIDX,NFO,5.000000
34,47783,NIFTY15SEP2216000CE,NIFTY,15SEP2022,1600000.000000,50,OPTIDX,NFO,5.000000
35,59332,NIFTY20OCT2217650CE,NIFTY,20OCT2022,1765000.000000,50,OPTIDX,NFO,5.000000
36,61345,NIFTY24NOV2217700CE,NIFTY,24NOV2022,1770000.000000,50,OPTIDX,NFO,5.000000
37,52918,NIFTY22SEP2219450PE,NIFTY,22SEP2022,1945000.000000,50,OPTIDX,NFO,5.000000
38,70835,NIFTY01SEP2218700PE,NIFTY,01SEP2022,1870000.000000,50,OPTIDX,NFO,5.000000
39,57501,NIFTY27OCT2215550CE,NIFTY,27OCT2022,1555000.000000,50,OPTIDX,NFO,5.000000
40,59239,NIFTY20OCT2215300PE,NIFTY,20OCT2022,1530000.000000,50,OPTIDX,NFO,5.000000
41,60926,NIFTY24NOV2214950CE,NIFTY,24NOV2022,1495000.000000,50,OPTIDX,NFO,5.000000
42,57467,NIFTY27OCT2214700CE,NIFTY,27OCT2022,1470000.000000,50,OPTIDX,NFO,5.000000
43,61338,NIFTY24NOV2217500PE,NIFTY,24NOV2022,1750000.000000,50,OPTIDX,NFO,5.000000
44,47416,NIFTY06OCT2219000PE,NIFTY,06OCT2022,1900000.000000,50,OPTIDX,NFO,5.000000
45,40082,NIFTY28DEC2315000CE,NIFTY,28DEC2023,1500000.000000,50,OPTIDX,NFO,5.000000
46,61483,NIFTY24NOV2219450PE,NIFTY,24NOV2022,1945000.000000,50,OPTIDX,NFO,5.000000
47,52955,NIFTY13OCT2217300PE,NIFTY,13OCT2022,1730000.000000,50,OPTIDX,NFO,5.000000
48,71058,NIFTY29SEP2215800PE,NIFTY,29SEP2022,1580000.000000,50,OPTIDX,NFO,5.000000
49,35588,NIFTY29DEC2216500CE,NIFTY,29DEC2022,1650000.000000,50,OPTIDX,NFO,5.000000
50,52909,NIFTY22SEP2219250CE,NIFTY,22SEP2022,1925000.000000,50,OPTIDX,NFO,5.000000
51,59225,NIFTY20OCT2214950PE,NIFTY,20OCT2022,1495000.000000,50,OPTIDX,NFO,5.000000
52,70714,NIFTY01SEP2218050PE,NIFTY,01SEP2022,1805000.000000,50,OPTIDX,NFO,5.000000
53,59305,NIFTY20OCT2216950PE,NIFTY,20OCT2022,1695000.000000,50,OPTIDX,NFO,5.000000
54,59230,NIFTY20OCT2215100CE,NIFTY,20OCT2022,1510000.000000,50,OPTIDX,NFO,5.000000
55,50185,NIFTY29SEP2219350PE,NIFTY,29SEP2022,1935000.000000,50,OPTIDX,NFO,5.000000
56,52749,NIFTY13OCT2216050CE,NIFTY,13OCT2022,1605000.000000,50,OPTIDX,NFO,5.000000
57,41018,NIFTY27JUN2418500CE,NIFTY,27JUN2024,1850000.000000,50,OPTIDX,NFO,5.000000
58,47850,NIFTY15SEP2216800PE,NIFTY,15SEP2022,1680000.000000,50,OPTIDX,NFO,5.000000
59,71013,NIFTY29SEP2215150CE,NIFTY,29SEP2022,1515000.000000,50,OPTIDX,NFO,5.000000
60,52888,NIFTY22SEP2219100CE,NIFTY,22SEP2022,1910000.000000,50,OPTIDX,NFO,5.000000
61,40083,NIFTY28DEC2315000PE,NIFTY,28DEC2023,1500000.000000,50,OPTIDX,NFO,5.000000
62,37711,NIFTY29DEC2223000PE,NIFTY,29DEC2022,2300000.000000,50,OPTIDX,NFO,5.000000
63,48215,NIFTY15SEP2219200CE,NIFTY,15SEP2022,1920000.000000,50,OPTIDX,NFO,5.000000
64,48227,NIFTY29SEP2219300PE,NIFTY,29SEP2022,1930000.000000,50,OPTIDX,NFO,5.000000
65,71556,NIFTY24JUN2722000CE,NIFTY,24JUN2027,2200000.000000,50,OPTIDX,NFO,5.000000
66,43440,NIFTY08SEP2217450PE,NIFTY,08SEP2022,1745000.000000,50,OPTIDX,NFO,5.000000
67,43040,NIFTY08SEP2214450CE,NIFTY,08SEP2022,1445000.000000,50,OPTIDX,NFO,5.000000
68,61264,NIFTY24NOV2217400CE,NIFTY,24NOV2022,1740000.000000,50,OPTIDX,NFO,5.000000
69,52589,NIFTY22SEP2216950PE,NIFTY,22SEP2022,1695000.000000,50,OPTIDX,NFO,5.000000
70,47693,NIFTY15SEP2214400PE,NIFTY,15SEP2022,1440000.000000,50,OPTIDX,NFO,5.000000
